질병코드,한글명,영문명,카테고리
B43.1,대뇌색소진균증,Cerebral chromomycosis,뇌혈관
B45.1,대뇌크립토콕쿠스증,Cerebral cryptococcosis,뇌혈관
B46.1,코대뇌털곰팡이증,Rhinocerebral mucormycosis,뇌혈관
B50.0,대뇌합병증을 동반한 열대열원충말라리아,Plasmodium falciparum malaria with cerebral complications,뇌혈관
B50.0,뇌말라리아 NOS,Cerebral malaria NOS,뇌혈관
B50.00,"대뇌합병증을 동반한 열대열원충말라리아, 재발성으로 명시되어 있지 않은","Plasmodium falciparum malaria with cerebral complications, Not specified as recurrent",뇌혈관
B50.00,"뇌말라리아 NOS, 재발성으로 명시되어 있지 않은","Cerebral malaria NOS, Not specified as recurrent",뇌혈관
B50.01,"대뇌합병증을 동반한 열대열원충말라리아, 재발성","Plasmodium falciparum malaria with cerebral complications, Recurrent",뇌혈관
B50.01,"뇌말라리아 NOS, 재발성","Cerebral malaria NOS, Recurrent",뇌혈관
B57.0,"심장 침범을 동반한 급성 샤가스병(I41.2*, I98.1*)","Acute Chagas’ disease with heart involvement(I41.2*, I98.1*)",심장
B57.1,심장 침범이 없는 급성 샤가스병,Acute Chagas’ disease without heart involvement,심장
B57.2,심장 침범을 동반한 샤가스병(만성),Chagas’ disease (chronic) with heart involvement,심장
B66.4,뇌폐흡충증,Cerebral paragonimiasis,뇌혈관
B69,뇌낭미충증,Cerebral cysticercosis,뇌혈관
C00-C97,악성 신생물(C00-C97),Malignant neoplasms(C00-C97),암
C00-C97,"신생물의 항암제에 대한 내성, 무반응성 및 불응특성에 대한 분류를 원한다면, 부가분류코드(U85)를 사용할 것",,암
C00-C75,"림프, 조혈 및 관련 조직을 제외한 특정 부위의, 원발성이라고 정해졌거나 또는 추정되는 악성 신생물","Malignant neoplasms, stated or presumed to be primary, of specified sites, except of lymphoid, haematopoietic and related tissue",암
C00-C14,"입술, 구강 및 인두의 악성 신생물(C00-C14)","Malignant neoplasms of lip, oral cavity and pharynx(C00-C14)",암
C00,입술의 악성 신생물,Malignant neoplasm of lip,암
C00,"입술의 피부의 악성 신생물(C43.0, C44.0)","Malignant neoplasm of skin of lip(C43.0, C44.0)",암
C00.0,외부 윗입술의 악성 신생물,Malignant neoplasm of external upper lip,암
C00.0,윗입술의 악성 신생물 NOS,Malignant neoplasm of upper lip NOS,암
C00.0,입술연지부 윗입술의 악성 신생물,Malignant neoplasm of upper lip of lipstick area,암
C00.0,홍순경계 윗입술의 악성 신생물,Malignant neoplasm of upper lip of vermilion border,암
C00.1,외부 아랫입술의 악성 신생물,Malignant neoplasm of external lower lip,암
C00.1,아랫입술의 악성 신생물 NOS,Malignant neoplasm of lower lip NOS,암
C00.1,입술연지부 아랫입술의 악성 신생물,Malignant neoplasm of lower lip of lipstick area,암
C00.1,홍순경계 아랫입술의 악성 신생물,Malignant neoplasm of lower lip of vermilion border,암
C00.2,상세불명의 외부 입술의 악성 신생물,"Malignant neoplasm of external lip, unspecified",암
C00.2,홍순경계의 악성 신생물 NOS,Malignant neoplasm of vermilion border NOS,암
C00.3,윗입술 내측의 악성 신생물,"Malignant neoplasm of upper lip, inner aspect",암
C00.3,윗입술 볼쪽의 악성 신생물,"Malignant neoplasm of upper lip, buccal aspect",암
C00.3,윗입술 입쪽의 악성 신생물,"Malignant neoplasm of upper lip, oral aspect",암
C00.3,윗입술 점막의 악성 신생물,"Malignant neoplasm of upper lip, mucosa",암
C00.3,윗입술 주름띠의 악성 신생물,"Malignant neoplasm of upper lip, frenulum",암
C00.4,아랫입술 내측의 악성 신생물,"Malignant neoplasm of lower lip, inner aspect",암
C00.4,아랫입술 볼쪽의 악성 신생물,"Malignant neoplasm of lower lip, buccal aspect",암
C00.4,아랫입술 입쪽의 악성 신생물,"Malignant neoplasm of lower lip, oral aspect",암
C00.4,아랫입술 점막의 악성 신생물,"Malignant neoplasm of lower lip, mucosa",암
C00.4,아랫입술 주름띠의 악성 신생물,"Malignant neoplasm of lower lip, frenulum",암
C00.5,상세불명의 내측 입술의 악성 신생물,"Malignant neoplasm of lip, unspecified, inner aspect",암
C00.5,윗입술인지 아랫입술인지 명시되지 않은 볼쪽 입술의 악성 신생물,"Malignant neoplasm of buccal aspect Lip, not specified whether upper or lower",암
C00.5,윗입술인지 아랫입술인지 명시되지 않은 입쪽 입술의 악성 신생물,"Malignant neoplasm of oral aspect Lip, not specified whether upper or lower",암
C00.5,윗입술인지 아랫입술인지 명시되지 않은 점막 입술의 악성 신생물,"Malignant neoplasm of mucosa Lip, not specified whether upper or lower",암
C00.5,윗입술인지 아랫입술인지 명시되지 않은 주름띠 입술의 악성 신생물,"Malignant neoplasm of frenulum Lip, not specified whether upper or lower",암
C00.6,입술연결부의 악성 신생물,Malignant neoplasm of commissure of lip,암
C00.8,입술의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of lip,암
C00.9,상세불명의 입술의 악성 신생물,"Malignant neoplasm of lip, unspecified",암
C01,혀뿌리의 악성 신생물,Malignant neoplasm of base of tongue,암
C01,혀의 고정부의 악성 신생물 NOS,Malignant neoplasm of fixed part of tongue NOS,암
C01,혀의 뒤쪽 3분의1의 악성 신생물,Malignant neoplasm of posterior third of tongue,암
C01,혀뿌리 등쪽의 악성 신생물,Malignant neoplasm of dorsal surface of base of tongue,암
C02,혀의 기타 및 상세불명 부분의 악성 신생물,Malignant neoplasm of other and unspecified parts of tongue,암
C02.0,혀 등쪽의 악성 신생물,Malignant neoplasm of dorsal surface of tongue,암
C02.0,혀의 앞쪽 3분의2 등쪽의 악성 신생물,"Malignant neoplasm of anterior two-thirds of tongue, dorsal surface",암
C02.0,혀뿌리의 등쪽의 악성 신생물(C01),Malignant neoplasm of dorsal surface of base of tongue,암
C02.1,혀 가장자리의 악성 신생물,Malignant neoplasm of border of tongue,암
C02.1,혀끝의 악성 신생물,Malignant neoplasm of tip of tongue,암
C02.2,혀 배쪽면의 악성 신생물,Malignant neoplasm of ventral surface of tongue,암
C02.2,혀의 앞쪽 3분의2 배쪽면의 악성 신생물,"Malignant neoplasm of anterior two-thirds of tongue, ventral surface",암
C02.2,혀주름띠의 악성 신생물,Malignant neoplasm of frenulum linguae,암
C02.3,"혀의 앞쪽 3분의2, 상세불명 부분의 악성 신생물","Malignant neoplasm of anterior two-thirds of tongue, part unspecified",암
C02.3,혀의 가동부의 악성 신생물 NOS,Malignant neoplasm of mobile part of tongue NOS,암
C02.3,혀의 중간 3분의1의 악성 신생물 NOS,Malignant neoplasm of middle third of tongue NOS,암
C02.4,혀편도의 악성 신생물,Malignant neoplasm of lingual tonsil,암
C02.4,편도의 악성 신생물 NOS(C09.9),Malignant neoplasm of tonsil NOS(C09.9),암
C02.8,혀의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of tongue,암
C02.8,항목C01-C02.4에 분류할 수 없는 혀의 악성 신생물,Malignant neoplasm of tongue whose point of origin cannot be classified to any one of the categories C01-C02.4,암
C02.9,상세불명의 혀의 악성 신생물,"Malignant neoplasm of tongue, unspecified",암
C03,잇몸의 악성 신생물,Malignant neoplasm of gum,암
C03,잇몸의 악성 신생물,Malignant neoplasm of gingiva,암
C03,치조(융선) 점막의 악성 신생물,Malignant neoplasm of alveolar(ridge) mucosa,암
C03,악성 치원성 신생물(C41.0-C41.1),Malignant  odontogenic neoplasms(C41.0-C41.1),암
C03.0,윗잇몸의 악성 신생물,Malignant neoplasm of upper gum,암
C03.1,아랫잇몸의 악성 신생물,Malignant neoplasm of lower gum,암
C03.9,상세불명의 잇몸의 악성 신생물,"Malignant neoplasm of gum, unspecified",암
C04,입바닥의 악성 신생물,Malignant neoplasm of floor of mouth,암
C04.0,앞쪽 입바닥의 악성 신생물,Malignant neoplasm of anterior floor of mouth,암
C04.0,소구치-견치연접부의 앞쪽의 악성 신생물,Malignant neoplasm of anterior to the premolar-canine junction,암
C04.1,옆쪽 입바닥의 악성 신생물,Malignant neoplasm of lateral floor of mouth,암
C04.8,입바닥의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of floor of mouth,암
C04.9,상세불명의 입바닥의 악성 신생물,"Malignant neoplasm of floor of mouth, unspecified",암
C05,구개의 악성 신생물,Malignant neoplasm of palate,암
C05.0,경구개의 악성 신생물,Malignant neoplasm of hard palate,암
C05.1,연구개의 비인두면의 악성 신생물(C11.3),Malignant neoplasm of nasopharyngeal surface of soft palate(C11.3),암
C05.1,연구개의 악성 신생물,Malignant neoplasm of soft palate,암
C05.2,목젖의 악성 신생물,Malignant neoplasm of uvula,암
C05.8,구개의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of palate,암
C05.9,상세불명의 구개의 악성 신생물,"Malignant neoplasm of palate, unspecified",암
C05.9,입천장의 악성 신생물,Malignant neoplasm of roof of mouth,암
C06,입의 기타 및 상세불명 부분의 악성 신생물,Malignant neoplasm of other and unspecified parts of mouth,암
C06.0,볼점막의 악성 신생물,Malignant neoplasm of cheek mucosa,암
C06.0,내부볼의 악성 신생물,Malignant neoplasm of internal cheek,암
C06.0,볼점막의 악성 신생물 NOS,Malignant neoplasm of buccal mucosa NOS,암
C06.1,입전정의 악성 신생물,Malignant neoplasm of vestibule of mouth,암
C06.1,"볼고랑(상, 하)의 악성 신생물","Malignant neoplasm of buccal sulcus(upper, lower)",암
C06.1,"입술고랑(상, 하)의 악성 신생물","Malignant neoplasm of labial sulcus(upper, lower)",암
C06.2,구치후부의 악성 신생물,Malignant neoplasm of retromolar area,암
C06.8,입의 기타 및 상세불명 부분의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of other and unspecified parts of mouth,암
C06.9,상세불명의 입의 악성 신생물,"Malignant neoplasm of mouth, unspecified",암
C06.9,구강의 악성 신생물 NOS,Malignant neoplasm of oral cavity NOS,암
C06.9,상세불명 부위의 작은침샘의 악성 신생물,"Malignant neoplasm of minor salivary gland, unspecified site",암
C07,귀밑샘의 악성 신생물,Malignant neoplasm of parotid gland,암
C08,기타 및 상세불명의 주침샘의 악성 신생물,Malignant neoplasm of other and unspecified  major salivary glands,암
C08,귀밑샘의 악성 신생물(C07),Malignant neoplasm of parotid gland(C07),암
C08,작은침샘의 악성 신생물 NOS(C06.9),Malignant neoplasms of minor salivary glands NOS(C06.9),암
C08,해부학적 부위에 따라 분류명시된 작은침샘의 악성 신생물,Malignant neoplasms of specified minor salivary glands which are classified according to their anatomical location,암
C08.0,턱밑샘의 악성 신생물,Malignant neoplasm of submandibular gland,암
C08.0,턱밑샘의 악성 신생물,Malignant neoplasm of submaxillary gland,암
C08.1,혀밑샘의 악성 신생물,Malignant neoplasm of sublingual gland,암
C08.8,주침샘의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of major salivary glands,암
C08.8,항목C07-C08.1의 어디에도 분류될 수 없는 주침샘의 악성 신생물,Malignant neoplasm of major salivary glands whose point of origin cannot be classified to any one of the categories C07-C08.1,암
C08.9,상세불명의 주침샘의 악성 신생물,"Malignant neoplasm of major salivary gland, unspecified",암
C08.9,침샘(주)의 악성 신생물 NOS,Malignant neoplasm of salivary gland(major) NOS,암
C09,편도의 악성 신생물,Malignant neoplasm of tonsil,암
C09,인두편도의 악성 신생물(C11.1),Malignant neoplasm of pharyngeal tonsil(C11.1),암
C09,혀편도의 악성 신생물(C02.4),Malignant neoplasm of lingual tonsil(C02.4),암
C09.0,편도와의 악성 신생물,Malignant neoplasm of tonsillar fossa,암
C09.1,"편도기둥(전, 후)의 악성 신생물","Malignant neoplasm of tonsillar pillar(anterior, posterior)",암
C09.8,편도의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of tonsil,암
C09.9,상세불명의 편도의 악성 신생물,"Malignant neoplasm of tonsil, unspecified",암
C09.9,구개 편도의 악성 신생물,Malignant neoplasm of tonsil palatine,암
C09.9,목구멍 편도의 악성 신생물,Malignant neoplasm of tonsil faucial,암
C09.9,편도의 악성 신생물 NOS,Malignant neoplasm of tonsil NOS,암
C10,입인두의 악성 신생물,Malignant neoplasm of oropharynx,암
C10,편도의 악성 신생물(C09.-),Malignant neoplasm of tonsil(C09.-),암
C10.0,후두계곡의 악성 신생물,Malignant neoplasm of vallecula,암
C10.1,후두개의 앞면의 악성 신생물,Malignant neoplasm of anterior surface of epiglottis,암
C10.1,혀후두개주름의 악성 신생물,Malignant neoplasm of glossoepiglottic fold(s),암
C10.1,후두개 자유경계(모서리)의 악성 신생물,"Malignant neoplasm of epiglottis, free border[margin]",암
C10.1,후두개(설골상부)의 악성 신생물 NOS(C32.1),Malignant neoplasm of epiglottis(suprahyoid portion) NOS(C32.1),암
C10.2,입인두의 측벽의 악성 신생물,Malignant neoplasm of lateral wall of oropharynx,암
C10.3,입인두의 후벽의 악성 신생물,Malignant neoplasm of posterior wall of oropharynx,암
C10.4,아가미틈새의 악성 신생물,Malignant neoplasm of branchial cleft,암
C10.4,아가미낭[신생물의 부위]의 악성 신생물,Malignant neoplasm of branchial cyst[site of neoplasm],암
C10.8,입인두의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of oropharynx,암
C10.8,입인두의 접합부의 악성 신생물,Malignant neoplasm of junctional region of oropharynx,암
C10.9,상세불명의 입인두의 악성 신생물,"Malignant neoplasm of oropharynx, unspecified",암
C11,비인두의 악성 신생물,Malignant neoplasm of nasopharynx,암
C11.0,비인두의 상벽의 악성 신생물,Malignant neoplasm of superior wall of nasopharynx,암
C11.0,비인두의 천장의 악성 신생물,Malignant neoplasm of roof of nasopharynx,암
C11.1,비인두의 후벽의 악성 신생물,Malignant neoplasm of posterior wall of nasopharynx,암
C11.1,아데노이드의 악성 신생물,Malignant neoplasm of adenoid,암
C11.1,인두편도의 악성 신생물,Malignant neoplasm of pharyngeal tonsil,암
C11.2,비인두의 측벽의 악성 신생물,Malignant neoplasm of lateral wall of nasopharynx,암
C11.2,로센뮬러와의 악성 신생물,Malignant neoplasm of fossa of Rosenmüller,암
C11.2,이관의 개구의 악성 신생물,Malignant neoplasm of opening of auditory tube,암
C11.2,인두오목의 악성 신생물,Malignant neoplasm of pharyngeal recess,암
C11.3,비인두의 전벽의 악성 신생물,Malignant neoplasm of anterior wall of nasopharynx,암
C11.3,"(전, 후) 연구개의 비인두면의 악성 신생물","Malignant neoplasm of nasopharyngeal(anterior, posterior) surface of soft palate",암
C11.3,비인두의 바닥의 악성 신생물,Malignant neoplasm of floor of nasopharynx,암
C11.3,비중격의 후연의 악성 신생물,Malignant neoplasm of posterior margin of nasal septum,암
C11.3,후비공의 후연의 악성 신생물,Malignant neoplasm of posterior margin of nasal choana,암
C11.8,비인두의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of nasopharynx,암
C11.9,상세불명의 비인두의 악성 신생물,"Malignant neoplasm of nasopharynx, unspecified",암
C11.9,비인두벽의 악성 신생물 NOS,Malignant neoplasm of nasopharyngeal wall NOS,암
C12,이상동(梨狀洞)의 악성 신생물,Malignant neoplasm of pyriform sinus,암
C12,이상와(梨狀窩)의 악성 신생물,Malignant neoplasm of pyriform fossa,암
C13,하인두의 악성 신생물,Malignant neoplasm of hypopharynx,암
C13,이상동(梨狀洞)의 악성 신생물(C12),Malignant neoplasm of pyriform sinus(C12),암
C13.0,후륜상연골부의 악성 신생물,Malignant neoplasm of postcricoid region,암
C13.1,하인두면의 피열후두개주름의 악성 신생물,"Malignant neoplasm of aryepiglottic fold, hypopharyngeal aspect",암
C13.1,변연부의 피열후두개주름의 악성 신생물,"Malignant neoplasm of aryepiglottic fold, marginal zone",암
C13.1,피열후두개주름의 악성 신생물 NOS,Malignant neoplasm of aryepiglottic fold NOS,암
C13.1,후두면의 피열후두개주름의 악성 신생물(C32.1),"Malignant neoplasm of aryepiglottic fold, laryngeal aspect(C32.1)",암
C13.2,하인두의 후벽의 악성 신생물,Malignant neoplasm of posterior wall of hypopharynx,암
C13.8,하인두의 중복병변 의 악성 신생물,Malignant neoplasm of overlapping lesion of hypopharynx,암
C13.9,상세불명의 하인두의 악성 신생물,"Malignant neoplasm of hypopharynx, unspecified",암
C13.9,하인두벽의 악성 신생물 NOS,Malignant neoplasm of hypopharyngeal wall NOS,암
C14,"입술, 구강 및 인두내의 기타 및 부위불명의 악성 신생물","Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx",암
C14,구강의 악성 신생물 NOS(C06.9),Malignant neoplasm of oral cavity NOS(C06.9),암
C14.0,상세불명의 인두의 악성 신생물,"Malignant neoplasm of pharynx, unspecified",암
C14.2,발다이어고리의 악성 신생물,Malignant neoplasm of waldeyer ring,암
C14.8,"입술, 구강 및 인두의 중복병변의 악성 신생물","Malignant neoplasm of overlapping lesion of lip, oral cavity and pharynx",암
C14.8,"C00-C14.2 어느 것에도 분류될 수 없는 입술, 구강 및 인두의 악성 신생물","Malignant neoplasm of lip, oral cavity and pharynx whose point of origin cannot be classified to any one of the categories C00-C14.2",암
C15-C26,소화기관의 악성 신생물(C15-C26),Malignant neoplasms of digestive organs(C15-C26),암
C15,식도의 악성 신생물,Malignant neoplasm of oesophagus,암
C15.0,경부식도의 악성 신생물,Malignant neoplasm of cervical part of oesophagus,암
C15.1,흉부식도의 악성 신생물,Malignant neoplasm of thoracic part of oesophagus,암
C15.2,복부식도의 악성 신생물,Malignant neoplasm of abdominal part of oesophagus,암
C15.3,식도의 상부 3분의1의 악성 신생물,Malignant neoplasm of upper third of oesophagus,암
C15.4,식도의 중간 3분의1의 악성 신생물,Malignant neoplasm of middle third of oesophagus,암
C15.5,식도의 하부 3분의1의 악성 신생물,Malignant neoplasm of lower third of oesophagus,암
C15.8,식도의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of oesophagus,암
C15.9,상세불명의 식도의 악성 신생물,"Malignant neoplasm of oesophagus, unspecified",암
C16,위의 악성 신생물,Malignant neoplasm of stomach,암
C16.0,분문의 악성 신생물,Malignant neoplasm of cardia,암
C16.0,분문구의 악성 신생물,Malignant neoplasm of cardiac orifice,암
C16.0,분문-식도 접합부의 악성 신생물,Malignant neoplasm of cardio-oesophageal junction,암
C16.0,식도 및 위의 악성 신생물,Malignant neoplasm of oesophagus and stomach,암
C16.0,위-식도 접합부의 악성 신생물,Malignant neoplasm of gastro-oesophageal junction,암
C16.00,"분문의 악성 신생물, 조기","Malignant neoplasm of cardia, early",암
C16.00,"분문구의 악성 신생물, 조기","Malignant neoplasm of cardiac orifice, early",암
C16.00,"분문-식도 접합부의 악성 신생물, 조기","Malignant neoplasm of cardio-oesophageal junction, early",암
C16.00,"식도 및 위의 악성 신생물, 조기","Malignant neoplasm of oesophagus and stomach, early",암
C16.00,"위-식도 접합부의 악성 신생물, 조기","Malignant neoplasm of gastro-oesophageal junction, early",암
C16.01,"분문의 악성 신생물, 진행형","Malignant neoplasm of cardia, advanced",암
C16.01,"분문구의 악성 신생물, 진행형","Malignant neoplasm of cardiac orifice, advanced",암
C16.01,"분문-식도 접합부의 악성 신생물, 진행형","Malignant neoplasm of cardio-oesophageal junction, advanced",암
C16.01,"식도 및 위의 악성 신생물, 진행형","Malignant neoplasm of oesophagus and stomach, advanced",암
C16.01,"위-식도 접합부의 악성 신생물, 진행형","Malignant neoplasm of gastro-oesophageal junction, advanced",암
C16.09,"분문의 악성 신생물, 상세불명","Malignant neoplasm of cardia, unspecified",암
C16.09,"분문구의 악성 신생물, 상세불명","Malignant neoplasm of cardiac orifice, unspecified",암
C16.09,"분문-식도 접합부의 악성 신생물, 상세불명","Malignant neoplasm of cardio-oesophageal junction, unspecified",암
C16.09,"식도 및 위의 악성 신생물, 상세불명","Malignant neoplasm of oesophagus and stomach, unspecified",암
C16.09,"위-식도 접합부의 악성 신생물, 상세불명","Malignant neoplasm of gastro-oesophageal junction, unspecified",암
C16.1,위의 저부의 악성 신생물,Malignant neoplasm of fundus of stomach,암
C16.10,"위의 저부의 악성 신생물, 조기","Malignant neoplasm of fundus of stomach, early",암
C16.11,"위의 저부의 악성 신생물, 진행형","Malignant neoplasm of fundus of stomach, advanced",암
C16.19,"위의 저부의 악성 신생물, 상세불명","Malignant neoplasm of fundus of stomach, unspecified",암
C16.2,위의 체부의 악성 신생물,Malignant neoplasm of body of stomach,암
C16.20,"위의 체부의 악성 신생물, 조기","Malignant neoplasm of body of stomach, early",암
C16.21,"위의 체부의 악성 신생물, 진행형","Malignant neoplasm of body of stomach, advanced",암
C16.29,"위의 체부의 악성 신생물, 상세불명","Malignant neoplasm of body of stomach, unspecified",암
C16.3,유문동의 악성 신생물,Malignant neoplasm of pyloric antrum,암
C16.3,위동의 악성 신생물,Malignant neoplasm of gastric antrum,암
C16.30,"유문동의 악성 신생물, 조기","Malignant neoplasm of pyloric antrum, early",암
C16.30,"위동의 악성 신생물, 조기","Malignant neoplasm of gastric antrum, early",암
C16.31,"유문동의 악성 신생물, 진행형","Malignant neoplasm of pyloric antrum, advanced",암
C16.31,"위동의 악성 신생물, 진행형","Malignant neoplasm of gastric antrum, advanced",암
C16.39,"유문동의 악성 신생물, 상세불명","Malignant neoplasm of pyloric antrum, unspecified",암
C16.39,"위동의 악성 신생물, 상세불명","Malignant neoplasm of gastric antrum, unspecified",암
C16.4,유문의 악성 신생물,Malignant neoplasm of pylorus,암
C16.4,유문관의 악성 신생물,Malignant neoplasm of pyloric canal,암
C16.4,전유문의 악성 신생물,Malignant neoplasm of prepylorus,암
C16.40,"유문의 악성 신생물, 조기","Malignant neoplasm of pylorus, early",암
C16.40,"유문관의 악성 신생물, 조기","Malignant neoplasm of pyloric canal, early",암
C16.40,"전유문의 악성 신생물, 조기","Malignant neoplasm of prepylorus, early",암
C16.41,"유문의 악성 신생물, 진행형","Malignant neoplasm of pylorus, advanced",암
C16.41,"유문관의 악성 신생물, 진행형","Malignant neoplasm of pyloric canal, advanced",암
C16.41,"전유문의 악성 신생물, 진행형","Malignant neoplasm of prepylorus, advanced",암
C16.49,"유문의 악성 신생물, 상세불명","Malignant neoplasm of pylorus, unspecified",암
C16.49,"유문관의 악성 신생물, 상세불명","Malignant neoplasm of pyloric canal, unspecified",암
C16.49,"전유문의 악성 신생물, 상세불명","Malignant neoplasm of prepylorus, unspecified",암
C16.5,상세불명의 위의 소만의 악성 신생물,"Malignant neoplasm of lesser curvature of stomach, unspecified",암
C16.5,C16.0-C16.4에 분류할 수 없는 위의 소만의 악성 신생물,"Malignant neoplasm of lesser curvature of stomach, not classifiable to C16.0-C16.4",암
C16.50,"상세불명의 위의 소만부의 악성 신생물, 조기","Malignant neoplasm of lesser curvature of stomach, unspecified, early",암
C16.50,"C16.0-C16.4에 분류할 수 없는 위의 소만의 악성 신생물, 조기","Malignant neoplasm of lesser curvature of stomach, not classifiable to C16.0-C16.4, early",암
C16.51,"상세불명의 위의 소만부의 악성 신생물, 진행형","Malignant neoplasm of lesser curvature of stomach, unspecified, advanced",암
C16.51,"C16.0-C16.4에 분류할 수 없는 위의 소만의 악성 신생물, 진행형","Malignant neoplasm of lesser curvature of stomach, not classifiable to C16.0-C16.4, advanced",암
C16.59,"상세불명의 위의 소만부의 악성 신생물, 상세불명","Malignant neoplasm of lesser curvature of stomach, unspecified, unspecified",암
C16.59,"C16.0-C16.4에 분류할 수 없는 위의 소만의 악성 신생물, 상세불명","Malignant neoplasm of lesser curvature of stomach, not classifiable to C16.0-C16.4, unspecified",암
C16.6,상세불명의 위의 대만의 악성 신생물,"Malignant neoplasm of greater curvature of stomach, unspecified",암
C16.6,C16.0-C16.4에 분류할 수 없는 위의 대만의 악성 신생물,"Malignant neoplasm of greater curvature of stomach, not classifiable to C16.0-C16.4",암
C16.60,"상세불명의 위의 대만부의 악성 신생물, 조기","Malignant neoplasm of greater curvature of stomach, unspecified, early",암
C16.60,"C16.0-C16.4에 분류할 수 없는 위의 대만의 악성 신생물, 조기","Malignant neoplasm of greater curvature of stomach, not classifiable to C16.0-C16.4, early",암
C16.61,"상세불명의 위의 대만부의 악성 신생물, 진행형","Malignant neoplasm of greater curvature of stomach, unspecified, advanced",암
C16.61,"C16.0-C16.4에 분류할 수 없는 위의 대만의 악성 신생물, 진행형","Malignant neoplasm of greater curvature of stomach, not classifiable to C16.0-C16.4, advanced",암
C16.69,"상세불명의 위의 대만부의 악성 신생물, 상세불명","Malignant neoplasm of greater curvature of stomach, unspecified, unspecified",암
C16.69,"C16.0-C16.4에 분류할 수 없는 위의 대만의 악성 신생물, 상세불명","Malignant neoplasm of greater curvature of stomach, not classifiable to C16.0-C16.4, unspecified",암
C16.8,위의 중복병변의 악성 신생물,Malignant neoplasm of overlapping lesion of stomach,암
C16.80,"위의 중복병변의 악성 신생물, 조기","Malignant neoplasm of overlapping lesion of stomach, early",암
C16.81,"위의 중복병변의 악성 신생물, 진행형","Malignant neoplasm of overlapping lesion of stomach, advanced",암
C16.89,"위의 중복병변의 악성 신생물, 상세불명","Malignant neoplasm of overlapping lesion of stomach, unspecified",암
C16.9,상세불명의 위의 악성 신생물 ,"Malignant neoplasm of stomach, unspecified",암
C16.9,위암 NOS,Gastric cancer NOS,암
C16.90,"상세불명의 위의 악성 신생물, 조기","Malignant neoplasm of stomach, unspecified, early",암
C16.90,"상세불명의 위암, 조기","Gastric cancer NOS, early",암
C16.91,"상세불명의 위의 악성 신생물, 진행형","Malignant neoplasm of stomach, unspecified, advanced",암
C16.91,"상세불명의 위암, 진행형","Gastric cancer NOS, advanced",암
C16.99,"상세불명의 위의 악성 신생물, 상세불명","Malignant neoplasm of stomach, unspecified, unspecified",암
C16.99,"상세불명의 위암, 상세불명","Gastric cancer NOS, unspecified",암
C17,소장의 악성 신생물,Malignant neoplasm of small intestine,암
C17.0,십이지장의 악성 신생물,Malignant neoplasm of duodenum,암
C17.1,공장의 악성 신생물,Malignant neoplasm of jejunum,암
C17.2,회장의 악성 신생물,Malignant neoplasm of ileum,암
